id,наименование_задачи,тип_задачи,технологический_стек,срок_выполнения_дней,цена_руб,ценовой_диапазон
1663,Система бронирования,Fullstack-разработка,Next.js+Supabase,28,48500,30 000–60 000 ₽
1664,Лендинг для онлайн-курса,Лендинг,HTML+Bootstrap,18,5000,5 000–15 000 ₽
1665,Nginx+SSL+reverse proxy,CI/CD и DevOps,Terraform+AWS,9,28300,15 000–30 000 ₽
1666,API интеграции с 1С,Написание API,Go+Gin,16,16500,15 000–30 000 ₽
1667,REST API для каталога с пагинацией,Написание API,NestJS+TypeScript,2,14000,5 000–15 000 ₽
1668,MVP SaaS с подпиской,Fullstack-разработка,Vue.js+Django+PostgreSQL,45,60000,60 000–120 000 ₽
1669,Лендинг для агентства недвижимости,Лендинг,React,19,7000,5 000–15 000 ₽
1670,Интернет-аптека с кабинетом,Интернет-магазин,Shopify,21,15300,15 000–30 000 ₽
1671,UX-аудит сайта,UI/UX Дизайн,Figma+FigJam,15,13100,5 000–15 000 ₽
1672,Приложение для бронирования,Мобильное приложение,Flutter,60,65000,60 000–120 000 ₽
1673,Интернет-аптека с кабинетом,Интернет-магазин,WooCommerce,37,12000,5 000–15 000 ₽
1674,Pixel-perfect вёрстка карточки товара,Вёрстка,Next.js+SCSS,11,14500,5 000–15 000 ₽
1675,Каталог товаров с корзиной,Интернет-магазин,Shopify,40,13500,5 000–15 000 ₽
1676,Сбор вакансий с hh.ru,Парсинг данных,Python+Playwright,5,8000,5 000–15 000 ₽
1677,Прогнозирование стоимости задач,ML-модель,TensorFlow,9,30000,30 000–60 000 ₽
1678,Редизайн личного кабинета,UI/UX Дизайн,Figma+Lottie,10,18000,15 000–30 000 ₽
1679,Интернет-аптека с кабинетом,Интернет-магазин,React+Node.js,30,72000,60 000–120 000 ₽
1680,GraphQL API для портала,Написание API,Go+Gin,21,14000,5 000–15 000 ₽
1681,CRUD API системы задач,Написание API,Go+Gin,7,28000,15 000–30 000 ₽
1682,Парсер товаров с маркетплейса,Парсинг данных,Python+BeautifulSoup,7,5000,5 000–15 000 ₽
1683,Kubernetes-манифесты,CI/CD и DevOps,Ansible,4,10500,5 000–15 000 ₽
1684,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Docker Compose,10,9000,5 000–15 000 ₽
1685,Адаптивная вёрстка корпоративного сайта,Вёрстка,React+CSS Modules,4,8300,5 000–15 000 ₽
1686,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Terraform+AWS,6,13000,5 000–15 000 ₽
1687,Лендинг для онлайн-курса,Лендинг,Vue.js,9,5000,5 000–15 000 ₽
1688,Вёрстка email-шаблона,Вёрстка,React+CSS Modules,7,11000,5 000–15 000 ₽
1689,Парсер товаров с маркетплейса,Парсинг данных,Python+Playwright,2,7000,5 000–15 000 ₽
1690,Full-text search PostgreSQL,Оптимизация SQL,BigQuery,8,9000,5 000–15 000 ₽
1691,Лендинг для агентства недвижимости,Лендинг,HTML+CSS+JS,11,2900,до 5 000 ₽
1692,Парсер товаров с маркетплейса,Парсинг данных,Scrapy,6,4000,до 5 000 ₽
1693,MVP SaaS с подпиской,Fullstack-разработка,React+Spring Boot,12,136500,свыше 120 000 ₽
1694,Система бронирования,Fullstack-разработка,Vue.js+Django+PostgreSQL,56,52600,30 000–60 000 ₽
1695,Вёрстка email-шаблона,Вёрстка,Next.js+SCSS,14,8500,5 000–15 000 ₽
1696,Вёрстка email-шаблона,Вёрстка,Next.js+SCSS,12,7400,5 000–15 000 ₽
1697,Вёрстка личного кабинета,Вёрстка,Vue.js+CSS,3,5000,5 000–15 000 ₽
1698,Синхронизация CRM и 1С,Автоматизация и скрипты,Zapier+Python,11,8000,5 000–15 000 ₽
1699,Многопользовательский чат,Fullstack-разработка,Next.js+Node.js+MongoDB,49,37000,30 000–60 000 ₽
1700,Каталог с корзиной на Flutter,Мобильное приложение,Kotlin (Android),32,60200,60 000–120 000 ₽
1701,Продающий лендинг для SaaS,Лендинг,HTML+Bootstrap,11,5000,5 000–15 000 ₽
1702,Дизайн onboarding-flow,UI/UX Дизайн,Figma+Lottie,6,11400,5 000–15 000 ₽
1703,Парсинг объявлений о недвижимости,Парсинг данных,Python+Selenium,14,5600,5 000–15 000 ₽
1704,Дизайн дашборда аналитики,UI/UX Дизайн,Figma+FigJam,2,15500,15 000–30 000 ₽
1705,Интернет-магазин одежды,Интернет-магазин,Shopify,15,25000,15 000–30 000 ₽
1706,Вёрстка email-шаблона,Вёрстка,HTML+CSS+BEM,8,6500,5 000–15 000 ₽
1707,Магазин детских товаров,Интернет-магазин,WooCommerce,38,12700,5 000–15 000 ₽
1708,Вёрстка email-шаблона,Вёрстка,React+CSS Modules,10,11100,5 000–15 000 ₽
1709,Система бронирования,Fullstack-разработка,Next.js+Node.js+MongoDB,48,48400,30 000–60 000 ₽
1710,Сбор вакансий с hh.ru,Парсинг данных,Python+requests,4,6000,5 000–15 000 ₽
1711,MVP SaaS с подпиской,Fullstack-разработка,Vue.js+Django+PostgreSQL,57,33000,30 000–60 000 ₽
1712,Accordion FAQ,UI-компонент,React+TypeScript,9,5000,5 000–15 000 ₽
1713,Учебное приложение с карточками,Мобильное приложение,Flutter,27,50000,30 000–60 000 ₽
1714,Форма с валидацией,UI-компонент,Svelte,5,8200,5 000–15 000 ₽
1715,Автовыгрузка данных в Excel,Автоматизация и скрипты,n8n,9,3000,до 5 000 ₽
1716,API авторизации JWT и OAuth,Написание API,Spring Boot,8,17000,15 000–30 000 ₽
1717,Сбор отзывов с Google Maps,Парсинг данных,Scrapy,7,6500,5 000–15 000 ₽
1718,Скрипт обработки изображений,Автоматизация и скрипты,Python,11,3000,до 5 000 ₽
1719,Переписать N+1 в ORM,Оптимизация SQL,PostgreSQL+ORM,6,10000,5 000–15 000 ₽
1720,Приложение для записи к врачу,Мобильное приложение,Flutter+Firebase,40,66600,60 000–120 000 ₽
1721,Мультивендорный магазин,Интернет-магазин,Laravel+Vue,22,37000,30 000–60 000 ₽
1722,CRUD API системы задач,Написание API,Go+Gin,15,16000,15 000–30 000 ₽
1723,Вёрстка формы wizard,Вёрстка,Vue.js+CSS,13,9500,5 000–15 000 ₽
1724,Pixel-perfect вёрстка карточки товара,Вёрстка,React+CSS Modules,9,13000,5 000–15 000 ₽
1725,Дизайн дашборда аналитики,UI/UX Дизайн,Figma+Principle,18,23500,15 000–30 000 ₽
1726,Вёрстка дашборда аналитики,Вёрстка,HTML+CSS+BEM,11,6000,5 000–15 000 ₽
1727,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+Tailwind,8,7000,5 000–15 000 ₽
1728,Мониторинг наличия на Wildberries,Парсинг данных,Scrapy,4,7400,5 000–15 000 ₽
1729,Рекомендательная система,ML-модель,XGBoost+CatBoost,12,11000,5 000–15 000 ₽
1730,REST API для каталога с пагинацией,Написание API,FastAPI+PostgreSQL,14,15200,15 000–30 000 ₽
1731,Планировщик с Cron,Автоматизация и скрипты,Python+openpyxl,1,8000,5 000–15 000 ₽
1732,Лендинг для медицинской клиники,Лендинг,WordPress,7,5000,5 000–15 000 ₽
1733,Telegram-бот для уведомлений,Автоматизация и скрипты,Bash+Python,3,5500,5 000–15 000 ₽
1734,Вёрстка дашборда аналитики,Вёрстка,Vue.js+CSS,11,6700,5 000–15 000 ₽
1735,Вёрстка дашборда аналитики,Вёрстка,HTML+Tailwind,12,3000,до 5 000 ₽
1736,Магазин детских товаров,Интернет-магазин,WooCommerce,37,10600,5 000–15 000 ₽
1737,Приложение для записи к врачу,Мобильное приложение,Kotlin (Android),43,66500,60 000–120 000 ₽
1738,Drag-and-drop список,UI-компонент,Vue.js,6,3000,до 5 000 ₽
1739,API для мобильного приложения,Написание API,FastAPI+PostgreSQL,7,10000,5 000–15 000 ₽
1740,Анализ тональности отзывов,ML-модель,Hugging Face,8,30000,30 000–60 000 ₽
1741,API авторизации JWT и OAuth,Написание API,FastAPI+PostgreSQL,20,10300,5 000–15 000 ₽
1742,Детекция аномалий,ML-модель,XGBoost+CatBoost,8,17400,15 000–30 000 ₽
1743,Nginx+SSL+reverse proxy,CI/CD и DevOps,Kubernetes+Helm,9,19000,15 000–30 000 ₽
1744,Редизайн личного кабинета,UI/UX Дизайн,Figma,16,12000,5 000–15 000 ₽
1745,Лендинг для детского лагеря,Лендинг,HTML+Bootstrap,13,7000,5 000–15 000 ₽
1746,GraphQL API для портала,Написание API,Spring Boot,8,18000,15 000–30 000 ₽
1747,Приложение учёта финансов,Мобильное приложение,Kotlin (Android),34,27500,15 000–30 000 ₽
1748,Дашборд с графиками,UI-компонент,Svelte,4,3500,до 5 000 ₽
1749,Приложение трекинга тренировок,Мобильное приложение,React Native+TS,31,40000,30 000–60 000 ₽
1750,Продающий лендинг для SaaS,Лендинг,React,11,15000,15 000–30 000 ₽
1751,Адаптивная вёрстка корпоративного сайта,Вёрстка,HTML+Bootstrap 5,4,5500,5 000–15 000 ₽
1752,Webhook-интеграция с Telegram,Написание API,Node.js+Express,19,7000,5 000–15 000 ₽
1753,CRM для отдела продаж (MVP),Fullstack-разработка,Next.js+Node.js+MongoDB,30,54000,30 000–60 000 ₽
1754,Каталог с корзиной на Flutter,Мобильное приложение,React Native+Redux,37,21500,15 000–30 000 ₽
1755,Клиентское приложение для барбершопа,Мобильное приложение,React Native+Redux,27,27000,15 000–30 000 ₽
1756,Full-text search PostgreSQL,Оптимизация SQL,MySQL,8,9500,5 000–15 000 ₽
1757,Многопользовательский чат,Fullstack-разработка,React+Kotlin+PostgreSQL,47,86100,60 000–120 000 ₽
1758,Компонент загрузки файлов,UI-компонент,Vue.js,9,2500,до 5 000 ₽
1759,API управления заказами,Написание API,Django REST,2,25200,15 000–30 000 ₽
1760,Парсер товаров с маркетплейса,Парсинг данных,Scrapy,4,4200,до 5 000 ₽
1761,Лендинг для агентства недвижимости,Лендинг,HTML+CSS+JS,3,7000,5 000–15 000 ₽
1762,Мультивендорный магазин,Интернет-магазин,Laravel+Vue,7,30000,30 000–60 000 ₽
1763,Магазин электроники с фильтрами,Интернет-магазин,Django+React,18,49000,30 000–60 000 ₽
1764,Докеризация приложения,CI/CD и DevOps,Kubernetes+Helm,3,12000,5 000–15 000 ₽
1765,Магазин детских товаров,Интернет-магазин,Shopify,6,42000,30 000–60 000 ₽
1766,Автоматизация отчётности Google Sheets,Автоматизация и скрипты,Python,8,7500,5 000–15 000 ₽
1767,Рекомендательная система,ML-модель,LightGBM,12,19000,15 000–30 000 ₽
1768,Приложение для бронирования,Мобильное приложение,React Native+Redux,32,73000,60 000–120 000 ₽
1769,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+Tailwind,5,4000,до 5 000 ₽
1770,Оптимизация агрегатов ClickHouse,Оптимизация SQL,SQL Server,2,5000,5 000–15 000 ₽
1771,Анализ тональности отзывов,ML-модель,LightGBM,12,14300,5 000–15 000 ₽
1772,Индексирование и рефакторинг JOIN,Оптимизация SQL,PostgreSQL,5,5900,5 000–15 000 ₽
1773,Лендинг для службы доставки,Лендинг,HTML+Bootstrap,14,7000,5 000–15 000 ₽
1774,Маркетплейс для мастеров,Интернет-магазин,1C-Bitrix,10,36600,30 000–60 000 ₽
1775,Лендинг для агентства недвижимости,Лендинг,WordPress,21,6800,5 000–15 000 ₽
1776,Прогноз оттока клиентов,ML-модель,TensorFlow,11,10000,5 000–15 000 ₽
1777,Лендинг для агентства недвижимости,Лендинг,HTML+Bootstrap,17,7000,5 000–15 000 ₽
1778,Лендинг для службы доставки,Лендинг,Next.js,11,13700,5 000–15 000 ₽
1779,Каталог с корзиной на Flutter,Мобильное приложение,React Native+Redux,54,56000,30 000–60 000 ₽
1780,Парсер товаров с маркетплейса,Парсинг данных,Scrapy,12,6100,5 000–15 000 ₽
1781,Автоматизация отчётности Google Sheets,Автоматизация и скрипты,Python+openpyxl,8,7000,5 000–15 000 ₽
1782,Миграция на новый VPS,CI/CD и DevOps,Docker Compose,9,9000,5 000–15 000 ₽
1783,Учебное приложение с карточками,Мобильное приложение,Flutter,57,66500,60 000–120 000 ₽
1784,React-таблица с сортировкой,UI-компонент,React+Tailwind,3,6500,5 000–15 000 ₽
1785,Страница для сбора заявок,Лендинг,HTML+Bootstrap,10,8500,5 000–15 000 ₽
1786,Webhook-интеграция с Telegram,Написание API,Spring Boot,2,39000,30 000–60 000 ₽
1787,Лендинг для агентства недвижимости,Лендинг,HTML+CSS+JS,3,5000,5 000–15 000 ₽
1788,Учебное приложение с карточками,Мобильное приложение,Flutter+Firebase,53,37000,30 000–60 000 ₽
1789,Одностраничный сайт для юридических услуг,Лендинг,Vue.js,11,16000,15 000–30 000 ₽
1790,Accordion FAQ,UI-компонент,React+Storybook,3,5300,5 000–15 000 ₽
1791,Автобэкапы PostgreSQL,CI/CD и DevOps,Docker+GitHub Actions,3,9000,5 000–15 000 ₽
1792,Приложение для записи к врачу,Мобильное приложение,Kotlin (Android),23,71000,60 000–120 000 ₽
1793,Full-text search PostgreSQL,Оптимизация SQL,PostgreSQL+ORM,6,7000,5 000–15 000 ₽
1794,Приложение для бронирования,Мобильное приложение,React Native+TS,47,74000,60 000–120 000 ₽
1795,Лендинг для детского лагеря,Лендинг,HTML+Bootstrap,4,4500,до 5 000 ₽
1796,CRUD API системы задач,Написание API,Go+Gin,21,10600,5 000–15 000 ₽
1797,Лендинг для агентства недвижимости,Лендинг,React,10,7000,5 000–15 000 ₽
1798,Дизайн email-шаблона,UI/UX Дизайн,Figma,10,8400,5 000–15 000 ₽
1799,Ювелирный интернет-магазин,Интернет-магазин,React+Node.js,40,51000,30 000–60 000 ₽
1800,Лендинг для агентства недвижимости,Лендинг,HTML+CSS+JS,5,9000,5 000–15 000 ₽
1801,Переписать N+1 в ORM,Оптимизация SQL,PostgreSQL,9,6000,5 000–15 000 ₽
1802,Приложение для бронирования,Мобильное приложение,React Native+TS,12,29900,15 000–30 000 ₽
1803,Вёрстка административной панели,Вёрстка,HTML+Bootstrap 5,1,10000,5 000–15 000 ₽
1804,REST API для каталога с пагинацией,Написание API,Django REST,9,14500,5 000–15 000 ₽
1805,Прогноз оттока клиентов,ML-модель,LightGBM,8,14000,5 000–15 000 ₽
1806,Лендинг для онлайн-курса,Лендинг,WordPress,7,3500,до 5 000 ₽
1807,Мониторинг наличия на Wildberries,Парсинг данных,Scrapy,10,5000,5 000–15 000 ₽
1808,Вёрстка email-шаблона,Вёрстка,HTML+CSS+BEM,4,2000,до 5 000 ₽
1809,Магазин детских товаров,Интернет-магазин,Django+React,6,118000,60 000–120 000 ₽
1810,Приложение учёта финансов,Мобильное приложение,React Native+Redux,55,40500,30 000–60 000 ₽
1811,Каталог товаров с корзиной,Интернет-магазин,Laravel+Vue,8,33000,30 000–60 000 ₽
1812,React-таблица с сортировкой,UI-компонент,Vue.js,6,3000,до 5 000 ₽
1813,Дизайн email-шаблона,UI/UX Дизайн,Figma,6,16600,15 000–30 000 ₽
1814,Дизайн email-шаблона,UI/UX Дизайн,Figma,18,16000,15 000–30 000 ₽
1815,Вёрстка формы wizard,Вёрстка,HTML+Tailwind,8,4900,до 5 000 ₽
1816,Редизайн личного кабинета,UI/UX Дизайн,Figma+FigJam,9,15000,15 000–30 000 ₽
1817,Индексирование и рефакторинг JOIN,Оптимизация SQL,SQL Server,1,9000,5 000–15 000 ₽
1818,Парсер товаров с маркетплейса,Парсинг данных,Python+BeautifulSoup,1,4000,до 5 000 ₽
1819,Вёрстка email-шаблона,Вёрстка,HTML+CSS+BEM,4,7500,5 000–15 000 ₽
1820,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Sketch,13,9000,5 000–15 000 ₽
1821,Дизайн-система и UI-кит,UI/UX Дизайн,Sketch,5,15400,15 000–30 000 ₽
1822,Приложение для бронирования,Мобильное приложение,Swift (iOS),30,53000,30 000–60 000 ₽
1823,CRUD API системы задач,Написание API,Node.js+Express,5,5500,5 000–15 000 ₽
1824,Скрипт обработки изображений,Автоматизация и скрипты,Python+openpyxl,9,5200,5 000–15 000 ₽
1825,Accordion FAQ,UI-компонент,React+Tailwind,9,10000,5 000–15 000 ₽
1826,Приложение для записи к врачу,Мобильное приложение,Kotlin (Android),31,33000,30 000–60 000 ₽
1827,API для мобильного приложения,Написание API,FastAPI+PostgreSQL,20,13500,5 000–15 000 ₽
1828,Вёрстка формы wizard,Вёрстка,HTML+Tailwind,13,7000,5 000–15 000 ₽
1829,Оптимизация агрегатов ClickHouse,Оптимизация SQL,BigQuery,4,7000,5 000–15 000 ₽
1830,Дизайн-система и UI-кит,UI/UX Дизайн,Figma+Principle,16,18000,15 000–30 000 ₽
1831,Внутренний инструмент управления задачами,Fullstack-разработка,React+FastAPI+PostgreSQL,20,69200,60 000–120 000 ₽
1832,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+Bootstrap 5,4,4100,до 5 000 ₽
1833,Приложение для записи к врачу,Мобильное приложение,Flutter+Firebase,25,31800,30 000–60 000 ₽
1834,Дизайн-система и UI-кит,UI/UX Дизайн,Adobe XD,13,10500,5 000–15 000 ₽
1835,Магазин электроники с фильтрами,Интернет-магазин,Laravel+Vue,28,32100,30 000–60 000 ₽
1836,Автовыгрузка данных в Excel,Автоматизация и скрипты,Bash+Python,4,6000,5 000–15 000 ₽
1837,Детекция аномалий,ML-модель,LightGBM,3,20700,15 000–30 000 ₽
1838,Drag-and-drop список,UI-компонент,Svelte,6,3000,до 5 000 ₽
1839,Каталог с корзиной на Flutter,Мобильное приложение,Kotlin (Android),50,35000,30 000–60 000 ₽
1840,React-таблица с сортировкой,UI-компонент,React+Storybook,5,8500,5 000–15 000 ₽
1841,Интернет-магазин одежды,Интернет-магазин,WooCommerce,8,13000,5 000–15 000 ₽
1842,Планировщик с Cron,Автоматизация и скрипты,Python+aiogram,6,7000,5 000–15 000 ₽
1843,Интеграция Bitrix24,Автоматизация и скрипты,n8n,1,3000,до 5 000 ₽
1844,Парсер товаров с маркетплейса,Парсинг данных,Python+Playwright,11,11000,5 000–15 000 ₽
1845,Автоматизация отчётности Google Sheets,Автоматизация и скрипты,Python+openpyxl,2,6000,5 000–15 000 ₽
1846,Одностраничный сайт для юридических услуг,Лендинг,React,11,11000,5 000–15 000 ₽
1847,Приложение трекинга тренировок,Мобильное приложение,React Native+Redux,52,31000,30 000–60 000 ₽
1848,GraphQL API для портала,Написание API,Node.js+Express,13,13300,5 000–15 000 ₽
1849,MVP приложения доставки еды,Мобильное приложение,Swift (iOS),58,57500,30 000–60 000 ₽
1850,Вёрстка дашборда аналитики,Вёрстка,Vue.js+CSS,6,3900,до 5 000 ₽
1851,React-таблица с сортировкой,UI-компонент,React+TypeScript,6,5600,5 000–15 000 ₽
1852,UX-аудит сайта,UI/UX Дизайн,Adobe XD,18,7000,5 000–15 000 ₽
1853,Ювелирный интернет-магазин,Интернет-магазин,Django+React,30,71600,60 000–120 000 ₽
1854,Мониторинг Prometheus/Grafana,CI/CD и DevOps,GitLab CI,3,8900,5 000–15 000 ₽
1855,GraphQL API для портала,Написание API,Django REST,8,6000,5 000–15 000 ₽
1856,Вёрстка страницы оформления заказа,Вёрстка,HTML+Tailwind,6,3400,до 5 000 ₽
1857,Вёрстка личного кабинета,Вёрстка,Vue.js+CSS,5,5000,5 000–15 000 ₽
1858,Full-text search PostgreSQL,Оптимизация SQL,PostgreSQL+ORM,10,4100,до 5 000 ₽
1859,Страница для сбора заявок,Лендинг,WordPress,13,10000,5 000–15 000 ₽
1860,Каталог товаров с корзиной,Интернет-магазин,WooCommerce,17,35000,30 000–60 000 ₽
1861,Лендинг для службы доставки,Лендинг,Next.js,9,15000,15 000–30 000 ₽
1862,MVP приложения доставки еды,Мобильное приложение,Kotlin (Android),36,50800,30 000–60 000 ₽
1863,Оптимизация запроса аналитики,Оптимизация SQL,PostgreSQL,5,4200,до 5 000 ₽
1864,Интеграция Bitrix24,Автоматизация и скрипты,Python+openpyxl,10,7000,5 000–15 000 ₽
1865,Оптимизация запроса аналитики,Оптимизация SQL,SQL Server,4,10100,5 000–15 000 ₽
1866,Pixel-perfect вёрстка карточки товара,Вёрстка,React+CSS Modules,11,6000,5 000–15 000 ₽
1867,Страница для сбора заявок,Лендинг,HTML+Bootstrap,6,7000,5 000–15 000 ₽
1868,Вёрстка страницы оформления заказа,Вёрстка,HTML+Tailwind,12,2000,до 5 000 ₽
1869,Форма с валидацией,UI-компонент,Angular,8,6000,5 000–15 000 ₽
1870,Приложение для бронирования,Мобильное приложение,Kotlin (Android),13,41000,30 000–60 000 ₽
1871,Вёрстка email-шаблона,Вёрстка,HTML+Bootstrap 5,7,7000,5 000–15 000 ₽
1872,Каталог товаров с корзиной,Интернет-магазин,1C-Bitrix,32,42100,30 000–60 000 ₽
1873,Парсер товаров с маркетплейса,Парсинг данных,Python+requests,4,5000,5 000–15 000 ₽
1874,API интеграции с 1С,Написание API,Django REST,11,10000,5 000–15 000 ₽
1875,Миграция на новый VPS,CI/CD и DevOps,Docker+GitHub Actions,2,18000,15 000–30 000 ₽
1876,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+Lottie,21,20500,15 000–30 000 ₽
1877,Приложение учёта финансов,Мобильное приложение,Flutter+Firebase,24,81000,60 000–120 000 ₽
1878,Приложение для бронирования,Мобильное приложение,Swift (iOS),33,107500,60 000–120 000 ₽
1879,Портал управления заказами,Fullstack-разработка,Next.js+Node.js+MongoDB,33,34500,30 000–60 000 ₽
1880,Дизайн лендинга в Figma,UI/UX Дизайн,Figma,5,7000,5 000–15 000 ₽
1881,Мониторинг цен конкурентов,Парсинг данных,Scrapy,1,4500,до 5 000 ₽
1882,Лендинг для event-агентства,Лендинг,HTML+Bootstrap,21,5000,5 000–15 000 ₽
1883,Вёрстка формы wizard,Вёрстка,React+CSS Modules,3,6000,5 000–15 000 ₽
1884,GraphQL API для портала,Написание API,FastAPI+PostgreSQL,7,13500,5 000–15 000 ₽
1885,Оптимизация запроса аналитики,Оптимизация SQL,PostgreSQL,3,8500,5 000–15 000 ₽
1886,Nginx+SSL+reverse proxy,CI/CD и DevOps,GitLab CI,1,10800,5 000–15 000 ₽
1887,Индексирование и рефакторинг JOIN,Оптимизация SQL,PostgreSQL+ORM,9,7500,5 000–15 000 ₽
1888,GitHub Actions для деплоя,CI/CD и DevOps,Docker+GitHub Actions,6,11000,5 000–15 000 ₽
1889,Приложение для записи к врачу,Мобильное приложение,React Native+TS,11,68300,60 000–120 000 ₽
1890,Лендинг для фитнес-клуба,Лендинг,HTML+CSS+JS,9,8000,5 000–15 000 ₽
1891,Рекомендательная система,ML-модель,XGBoost+CatBoost,14,17100,15 000–30 000 ₽
1892,Лендинг с видео-фоном и анимацией,Лендинг,Vue.js,9,10500,5 000–15 000 ₽
1893,Лендинг для онлайн-курса,Лендинг,React,9,13800,5 000–15 000 ₽
1894,Мониторинг цен конкурентов,Парсинг данных,Python+BeautifulSoup,2,7000,5 000–15 000 ₽
1895,Лендинг для фитнес-клуба,Лендинг,HTML+CSS+JS,14,4000,до 5 000 ₽
1896,Приложение трекинга тренировок,Мобильное приложение,Flutter+Firebase,34,26000,15 000–30 000 ₽
1897,Приложение трекинга тренировок,Мобильное приложение,Swift (iOS),39,64000,60 000–120 000 ₽
1898,Мониторинг наличия на Wildberries,Парсинг данных,Python+BeautifulSoup,10,3000,до 5 000 ₽
1899,Парсер новостей,Парсинг данных,Python+Selenium,5,6000,5 000–15 000 ₽
1900,Сбор отзывов с Google Maps,Парсинг данных,Python+Playwright,7,6000,5 000–15 000 ₽
1901,Вёрстка формы wizard,Вёрстка,Vue.js+CSS,3,14000,5 000–15 000 ₽
1902,Вёрстка email-шаблона,Вёрстка,HTML+Tailwind,6,7000,5 000–15 000 ₽
1903,Детекция аномалий,ML-модель,XGBoost+CatBoost,11,10500,5 000–15 000 ₽
1904,Промо-страница для нового продукта,Лендинг,HTML+CSS+JS,2,10500,5 000–15 000 ₽
1905,Лендинг для медицинской клиники,Лендинг,Vue.js,18,8000,5 000–15 000 ₽
1906,Приложение для записи к врачу,Мобильное приложение,Flutter,29,22100,15 000–30 000 ₽
1907,Мониторинг цен конкурентов,Парсинг данных,Python+requests,7,5000,5 000–15 000 ₽
1908,Магазин детских товаров,Интернет-магазин,Django+React,35,32900,30 000–60 000 ₽
1909,Мониторинг цен конкурентов,Парсинг данных,Python+Selenium,10,10500,5 000–15 000 ₽
1910,Webhook-интеграция с Telegram,Написание API,NestJS+TypeScript,14,13200,5 000–15 000 ₽
1911,API авторизации JWT и OAuth,Написание API,Go+Gin,9,17000,15 000–30 000 ₽
1912,Дизайн email-шаблона,UI/UX Дизайн,Sketch,8,6500,5 000–15 000 ₽
1913,Детекция аномалий,ML-модель,XGBoost+CatBoost,21,9000,5 000–15 000 ₽
1914,CRUD API системы задач,Написание API,NestJS+TypeScript,12,11000,5 000–15 000 ₽
1915,Скрипт обработки изображений,Автоматизация и скрипты,Zapier+Python,2,5500,5 000–15 000 ₽
1916,Лендинг с видео-фоном и анимацией,Лендинг,WordPress,14,11000,5 000–15 000 ₽
1917,Дизайн лендинга в Figma,UI/UX Дизайн,Adobe XD,14,8000,5 000–15 000 ₽
1918,Вёрстка формы wizard,Вёрстка,React+CSS Modules,9,13800,5 000–15 000 ₽
1919,Full-text search PostgreSQL,Оптимизация SQL,BigQuery,10,4200,до 5 000 ₽
1920,API авторизации JWT и OAuth,Написание API,FastAPI+PostgreSQL,20,17000,15 000–30 000 ₽
1921,Лендинг для службы доставки,Лендинг,Next.js,17,17000,15 000–30 000 ₽
1922,Вёрстка административной панели,Вёрстка,HTML+CSS+BEM,4,3000,до 5 000 ₽
1923,API авторизации JWT и OAuth,Написание API,Node.js+Express,2,7500,5 000–15 000 ₽
1924,REST API для каталога с пагинацией,Написание API,NestJS+TypeScript,20,18000,15 000–30 000 ₽
1925,Дизайн-система и UI-кит,UI/UX Дизайн,Figma,9,8000,5 000–15 000 ₽
1926,Ускорение отчётов PostgreSQL,Оптимизация SQL,SQL Server,8,11500,5 000–15 000 ₽
1927,Учебное приложение с карточками,Мобильное приложение,React Native+TS,51,51000,30 000–60 000 ₽
1928,Лендинг для детского лагеря,Лендинг,React,14,15000,15 000–30 000 ₽
1929,Интернет-аптека с кабинетом,Интернет-магазин,Django+React,28,71400,60 000–120 000 ₽
1930,Дизайн email-шаблона,UI/UX Дизайн,Figma+Lottie,13,14500,5 000–15 000 ₽
1931,Лендинг для медицинской клиники,Лендинг,WordPress,9,4000,до 5 000 ₽
1932,Вёрстка дашборда аналитики,Вёрстка,React+CSS Modules,3,6500,5 000–15 000 ₽
1933,Миграция на новый VPS,CI/CD и DevOps,Ansible,5,7000,5 000–15 000 ₽
1934,Магазин электроники с фильтрами,Интернет-магазин,Shopify,33,41000,30 000–60 000 ₽
1935,Дизайн дашборда аналитики,UI/UX Дизайн,Figma+FigJam,4,14200,5 000–15 000 ₽
1936,Одностраничный сайт для юридических услуг,Лендинг,React,9,9000,5 000–15 000 ₽
1937,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+CSS+BEM,2,5000,5 000–15 000 ₽
1938,Дата-пикер с диапазоном,UI-компонент,React+Tailwind,3,4300,до 5 000 ₽
1939,API интеграции с 1С,Написание API,Django REST,20,20000,15 000–30 000 ₽
1940,Интернет-магазин одежды,Интернет-магазин,Django+React,26,40000,30 000–60 000 ₽
1941,Мультивендорный магазин,Интернет-магазин,1C-Bitrix,28,24300,15 000–30 000 ₽
1942,Вёрстка страницы оформления заказа,Вёрстка,Vue.js+CSS,13,6000,5 000–15 000 ₽
1943,Оптимизация запроса аналитики,Оптимизация SQL,MySQL,9,3000,до 5 000 ₽
1944,Мониторинг наличия на Wildberries,Парсинг данных,Python+BeautifulSoup,10,5500,5 000–15 000 ₽
